"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 22:12:11 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
90.816,6.122,0,3.061,0,85.859,10.101,0,4.040,0,89,8,0,3,0,87,10,0,3,0,209456128,61440,30-04 22:15:08
88.889,6.061,0,5.051,0,85.714,10.204,0,4.082,0,87.879,7.071,0,5.051,0,87,9,0,4,0,206838784,0,30-04 22:15:09
79.612,8.738,0.971,10.680,0,81.818,7.071,0,11.111,0,83.495,6.796,0,9.709,0,80,9,0,11,0,193397760,0,30-04 22:15:10
87.879,7.071,0,5.051,0,86.139,8.911,0,4.950,0,85.714,9.184,0,5.102,0,84.536,10.309,0,5.155,0,190462464,28672,30-04 22:15:11
90.099,6.931,0,2.970,0,89,7,1,3,0,89.899,7.071,0,3.030,0,88.889,8.081,0,3.030,0,205307392,1216512,30-04 22:15:12
87.879,9.091,0,3.030,0,88.889,8.081,0,3.030,0,88,9,0,3,0,88.119,8.911,0,2.970,0,204633600,53248,30-04 22:15:13
93.939,4.040,0,2.020,0,90,7,0,3,0,88.119,7.921,0.990,2.970,0,89,8,0,3,0,189093376,204562432,30-04 22:15:14
91.919,7.071,0,1.010,0,91,8,0,1,0,90,9,0,1,0,88.889,10.101,0,1.010,0,249576448,491520,30-04 22:15:15
87.129,9.901,0,2.970,0,97.030,1.980,0,0.990,0,91.089,5.941,0,2.970,0,89,8,0,3,0,239015424,68222976,30-04 22:15:16
94.949,5.051,0,0,0,93,6,0,1,0,91.919,8.081,0,0,0,89.796,10.204,0,0,0,252918272,1421312,30-04 22:15:17
90.909,7.071,0,2.020,0,89,8,0,3,0,93.939,4.040,0,2.020,0,92.079,4.950,0,2.970,0,245221888,68276224,30-04 22:15:18
93.069,5.941,0,0.990,0,94.949,5.051,0,0,0,89,10,0,1,0,90.909,8.081,0,1.010,0,242618880,0,30-04 22:15:19
92.929,6.061,0,1.010,0,88.889,9.091,0,2.020,0,91,8,0,1,0,92,7,0,1,0,236782592,68239360,30-04 22:15:20
90.909,8.081,0,1.010,0,85.859,13.131,0,1.010,0,89.109,9.901,0,0.990,0,93.939,5.051,0,1.010,0,241187840,68210688,30-04 22:15:21
90,10,0,0,0,90,10,0,0,0,88.889,10.101,0,1.010,0,94,6,0,0,0,243290624,1073152,30-04 22:15:22
89.109,8.911,0,1.980,0,93,5,0,2,0,90,9,0,1,0,89.109,8.911,0,1.980,0,241311744,68272128,30-04 22:15:23
88,11,0,1,0,86.869,12.121,0,1.010,0,91.919,7.071,0,1.010,0,90.816,8.163,0,1.020,0,225317888,68161536,30-04 22:15:24
90.909,7.071,0,2.020,0,89.899,8.081,0,2.020,0,84.848,13.131,0,2.020,0,88.889,10.101,0,1.010,0,293889536,886329344,30-04 22:15:25
89.899,9.091,0,1.010,0,93,6,0,1,0,90,8,0,2,0,88,10,0,2,0,298776064,68218880,30-04 22:15:26
90,8,0,2,0,90,8,0,2,0,90.816,8.163,0,1.020,0,88,10,0,2,0,288109056,68206592,30-04 22:15:27
87.629,11.340,0,1.031,0,88.889,10.101,0,1.010,0,88.889,9.091,0,2.020,0,88.660,9.278,0,2.062,0,291057664,614858752,30-04 22:15:28
89.899,8.081,0,2.020,0,90,8,0,2,0,89,9,0,2,0,92.157,4.902,0.980,1.961,0,277920768,68284416,30-04 22:15:29
92.929,5.051,0,2.020,0,92.929,6.061,0,1.010,0,87.129,10.891,0,1.980,0,89.899,9.091,0,1.010,0,278471680,68214784,30-04 22:15:30
88.776,10.204,0,1.020,0,92,6,0,2,0,90.816,7.143,0,2.041,0,91.837,6.122,0,2.041,0,287189504,68218880,30-04 22:15:31
89.216,8.824,0,1.961,0,85,14,0,1,0,90,9,0,1,0,93,5,0,2,0,291124736,68206592,30-04 22:15:32
85.714,12.245,0,2.041,0,90.816,6.122,0,3.061,0,83,14,0,3,0,89.109,7.921,0,2.970,0,274165760,955736064,30-04 22:15:33
91,6,0,3,0,88.889,8.081,0,3.030,0,89,8,0,3,0,91,7,0,2,0,280332800,68902912,30-04 22:15:34
93,6,0,1,0,92.079,5.941,0,1.980,0,93,6,0,1,0,91.089,6.931,0,1.980,0,290380288,68206592,30-04 22:15:35
93.939,4.040,0,2.020,0,90.816,8.163,0,1.020,0,91,7,0,2,0,90,8,0,2,0,285515776,68222976,30-04 22:15:36
92.929,6.061,0,1.010,0,86.139,11.881,0,1.980,0,92,7,0,1,0,87.129,11.881,0,0.990,0,268991488,68210688,30-04 22:15:37
89.109,7.921,0,2.970,0,89,9,0,2,0,93,5,0,2,0,90.909,6.061,0,3.030,0,265911296,137789440,30-04 22:15:38
87.879,9.091,0,3.030,0,85.859,11.111,0,3.030,0,82.178,13.861,0,3.960,0,88.660,8.247,0,3.093,0,278273536,668053504,30-04 22:15:39
88.889,8.081,0,3.030,0,85.567,11.340,0,3.093,0,84.536,13.402,0,2.062,0,88.776,8.163,0,3.061,0,289444352,968183808,30-04 22:15:40
92.079,4.950,0,2.970,0,87.755,9.184,0,3.061,0,90,7,0,3,0,86.275,10.784,0,2.941,0,260162048,409194496,30-04 22:15:41
90.099,8.911,0,0.990,0,90.099,8.911,0,0.990,0,88.889,10.101,0,1.010,0,90,9,0,1,0,214919168,0,30-04 22:15:42
91,8,0,1,0,89.899,9.091,0,1.010,0,93.069,5.941,0,0.990,0,90.909,9.091,0,0,0,221339648,0,30-04 22:15:43
86.735,11.224,0,2.041,0,90.909,6.061,0,3.030,0,88.889,9.091,0,2.020,0,88.235,8.824,0,2.941,0,219280384,1388544,30-04 22:15:44
87.255,11.765,0,0.980,0,93,7,0,0,0,87.879,11.111,0,1.010,0,89.899,9.091,0,1.010,0,222125568,8192,30-04 22:15:45
92.929,5.051,0,2.020,0,90.909,7.071,0,2.020,0,89,9,0,2,0,91,7,0,2,0,192811520,204566528,30-04 22:15:46
89,10,0,1,0,90.099,8.911,0,0.990,0,93,6,0,1,0,92,8,0,0,0,233727488,0,30-04 22:15:47
91,8,0,1,0,90.816,9.184,0,0,0,91.919,8.081,0,0,0,92,7,0,1,0,238958080,12288,30-04 22:15:48
89.109,9.901,0,0.990,0,88.119,10.891,0,0.990,0,89.899,9.091,0,1.010,0,88,11,0,1,0,234092032,1396736,30-04 22:15:49
92,7,0,1,0,90.099,7.921,0,1.980,0,87,11,0,2,0,88.889,9.091,0,2.020,0,219454464,0,30-04 22:15:50
89.109,7.921,0.990,1.980,0,89,9,0,2,0,87.755,10.204,0,2.041,0,89.109,8.911,0,1.980,0,222597120,118784,30-04 22:15:51
86,11,0,3,0,88.119,8.911,0,2.970,0,86.869,10.101,0,3.030,0,88.889,8.081,0,3.030,0,214718976,0,30-04 22:15:52
92.079,5.941,0,1.980,0,91,7,0,2,0,87.879,10.101,0,2.020,0,88,10,0,2,0,214230528,16384,30-04 22:15:53
87,9,0,4,0,87,9,1,3,0,86.869,9.091,0,4.040,0,88,8,0,4,0,213624832,1282048,30-04 22:15:54
81.818,14.141,0,4.040,0,84.158,10.891,0,4.950,0,85,9,1,5,0,88.889,6.061,1.010,4.040,0,218881024,0,30-04 22:15:55
84,10,0,6,0,87.755,6.122,0,6.122,0,86.275,7.843,0,5.882,0,83,11,0,6,0,214406144,0,30-04 22:15:56
85.149,8.911,0,5.941,0,84,10,0,6,0,86.735,7.143,0,6.122,0,83.838,10.101,0,6.061,0,214173184,8192,30-04 22:15:57
86.139,7.921,0,5.941,0,85.859,9.091,0,5.051,0,88.542,6.250,0,5.208,0,87.255,6.863,0,5.882,0,208139776,0,30-04 22:15:58
84,10,1,5,0,85.149,8.911,0,5.941,0,87,7,0,6,0,86.869,8.081,0,5.051,0,212009472,1060864,30-04 22:15:59
86,8,0,6,0,87.755,6.122,0,6.122,0,88,8,0,4,0,85.859,9.091,0,5.051,0,209107456,0,30-04 22:16:00
85.714,8.163,0,6.122,0,86.598,6.186,0,7.216,0,85.859,7.071,0,7.071,0,86.598,6.186,1.031,6.186,0,198626304,0,30-04 22:16:01
87.879,6.061,0,6.061,0,86,8,1,5,0,86.139,7.921,0.990,4.950,0,87.879,6.061,0,6.061,0,209015296,0,30-04 22:16:02
85.859,9.091,0,5.051,0,84.848,9.091,0,6.061,0,87,7,0,6,0,87.129,6.931,0,5.941,0,205341184,0,30-04 22:16:03
84,10,0,6,0,88,6,0,6,0,86.735,7.143,0,6.122,0,87.629,7.216,0,5.155,0,203388928,1122304,30-04 22:16:04
86.408,7.767,0,5.825,0,88.889,6.061,0,5.051,0,89.109,6.931,0,3.960,0,86,8,0,6,0,199681024,12288,30-04 22:16:05
85.714,8.163,1.020,5.102,0,85.714,8.163,0,6.122,0,84.848,9.091,0,6.061,0,85.859,9.091,0,5.051,0,204441088,0,30-04 22:16:06
88.889,6.061,0,5.051,0,90.099,4.950,0,4.950,0,84.158,10.891,0,4.950,0,86.275,7.843,0.980,4.902,0,199140864,0,30-04 22:16:07
86.869,8.081,0,5.051,0,86.869,7.071,1.010,5.051,0,87,8,0,5,0,88.119,6.931,0,4.950,0,202805760,0,30-04 22:16:08
86.869,8.081,0,5.051,0,86.598,8.247,0,5.155,0,83,10,1,6,0,87.129,6.931,0,5.941,0,198442496,0,30-04 22:16:09
82,12,0,6,0,86,8,0,6,0,86.869,8.081,0,5.051,0,86.735,7.143,0,6.122,0,197985280,1269760,30-04 22:16:10
86,10,0,4,0,85.859,10.101,0,4.040,0,89.899,5.051,0,5.051,0,84.536,10.309,0,5.155,0,196325376,12288,30-04 22:16:11
86.598,8.247,0,5.155,0,88,7,0,5,0,87,8,0,5,0,85.859,9.091,1.010,4.040,0,198260224,0,30-04 22:16:12
86.275,8.824,0.980,3.922,0,86,9,1,4,0,92,5,0,3,0,90.196,5.882,0,3.922,0,181435904,0,30-04 22:16:13
82.178,12.871,0,4.950,0,87.129,7.921,0,4.950,0,86.869,8.081,0,5.051,0,92.929,4.040,0,3.030,0,195253248,204619776,30-04 22:16:14
88.542,7.292,0,4.167,0,86.735,9.184,0,4.082,0,87.129,7.921,0,4.950,0,87,8,0,5,0,205231104,1261568,30-04 22:16:15
87.255,6.863,0,5.882,0,86,8,0,6,0,82.653,10.204,1.020,6.122,0,82.653,12.245,0,5.102,0,206823936,0,30-04 22:16:16
84.694,8.163,0,7.143,0,84,9,1,6,0,85.859,7.071,0,7.071,0,83.333,8.824,0,7.843,0,195914240,0,30-04 22:16:17
88.889,6.061,1.010,4.040,0,87.129,7.921,0,4.950,0,85.859,9.091,0,5.051,0,87,9,0,4,0,205518336,28672,30-04 22:16:18
84.848,8.081,0,7.071,0,85.149,7.921,0,6.931,0,86.598,7.216,0,6.186,0,85,7,1,7,0,199341056,49152,30-04 22:16:19
82.474,11.340,0,6.186,0,83.673,9.184,0,7.143,0,86.869,6.061,0,7.071,0,87.129,5.941,0,6.931,0,199861760,983040,30-04 22:16:20
88.889,5.051,0,6.061,0,86.598,7.216,0,6.186,0,82.828,10.101,1.010,6.061,0,85.149,8.911,0,5.941,0,195001344,0,30-04 22:16:21
86.869,8.081,0,5.051,0,89,6,0,5,0,86,10,0,4,0,84.694,11.224,0,4.082,0,200153600,0,30-04 22:16:22
82.474,9.278,0,8.247,0,82.292,8.333,1.042,8.333,0,84.158,6.931,0,8.911,0,85.294,6.863,0,7.843,0,191208448,0,30-04 22:16:23
84.848,7.071,0,8.081,0,85,8,0,7,0,84.694,8.163,0,7.143,0,82.653,10.204,0,7.143,0,207654400,106496,30-04 22:16:24
85.294,6.863,0.980,6.863,0,85.859,7.071,0,7.071,0,79.412,13.725,0,6.863,0,84,9,0,7,0,198087680,1523712,30-04 22:16:25
83,9,0,8,0,84.158,7.921,0,7.921,0,81,10,1,8,0,84.848,6.061,1.010,8.081,0,211560960,102400,30-04 22:16:26
84.848,9.091,0,6.061,0,85.859,8.081,0,6.061,0,83.673,10.204,0,6.122,0,84.536,9.278,0,6.186,0,212564480,0,30-04 22:16:27
88.119,4.950,0,6.931,0,87.755,6.122,0,6.122,0,83.505,9.278,0,7.216,0,83.838,10.101,0,6.061,0,200634880,0,30-04 22:16:28
77.660,8.511,0,13.830,0,78.125,8.333,0,13.542,0,78.431,8.824,0,12.745,0,79.412,6.863,0,13.725,0,199632896,69632,30-04 22:16:29
87.629,9.278,0,3.093,0,85.859,10.101,0,4.040,0,86.139,9.901,0,3.960,0,88,8,0,4,0,211966464,1167360,30-04 22:16:30
85.859,7.071,0,7.071,0,85,8,1,6,0,81.818,11.111,0,7.071,0,83.673,9.184,0,7.143,0,203038208,0,30-04 22:16:31
84.848,10.101,0,5.051,0,82.653,11.224,0,6.122,0,86.735,8.163,1.020,4.082,0,85.263,9.474,0,5.263,0,202494464,0,30-04 22:16:32
85.149,7.921,0.990,5.941,0,82.828,11.111,0,6.061,0,84.158,8.911,0,6.931,0,85,9,0,6,0,206489600,0,30-04 22:16:33
81.818,10.101,0,8.081,0,84,8,0,8,0,83.673,9.184,0,7.143,0,83,8,1,8,0,199565824,0,30-04 22:16:34
81,9,0,10,0,83.838,6.061,0,10.101,0,85.714,4.082,0,10.204,0,81.188,8.911,0,9.901,0,203444736,1290240,30-04 22:16:35
85.294,8.824,0,5.882,0,86.869,6.061,0,7.071,0,85.714,7.143,0,7.143,0,87.629,5.155,0,7.216,0,193699840,0,30-04 22:16:36
86.869,8.081,0,5.051,0,86,9,0,5,0,91.837,3.061,0,5.102,0,88.889,6.061,1.010,4.040,0,203789312,0,30-04 22:16:37
87,8,0,5,0,84.536,9.278,1.031,5.155,0,85.149,8.911,0.990,4.950,0,86,9,0,5,0,203724288,0,30-04 22:16:38
82.524,7.767,0,9.709,0,81,9,0,10,0,81.188,8.911,0,9.901,0,83.495,5.825,0,10.680,0,193147904,102400,30-04 22:16:39
87.879,10.101,0,2.020,0,89.899,8.081,0,2.020,0,88.889,9.091,0,2.020,0,90.099,7.921,0,1.980,0,201587200,0,30-04 22:16:40
90,9,0,1,0,90,8,0,2,0,92.929,6.061,0,1.010,0,88.119,9.901,0,1.980,0,207919104,1482752,30-04 22:16:41
90.099,7.921,0.990,0.990,0,90,9,0,1,0,92.929,6.061,0,1.010,0,88.889,10.101,0,1.010,0,207532032,12288,30-04 22:16:42
88.119,9.901,0,1.980,0,92.929,6.061,0,1.010,0,88,11,0,1,0,89.899,9.091,0,1.010,0,192247808,0,30-04 22:16:43
87.879,9.091,0,3.030,0,89,8,0,3,0,91,5,0,4,0,91.919,5.051,0,3.030,0,194019328,204664832,30-04 22:16:44
89.216,8.824,0,1.961,0,86.275,11.765,0,1.961,0,90.099,7.921,0,1.980,0,87.129,10.891,0,1.980,0,221159424,24576,30-04 22:16:45
88,10,0,2,0,88.889,8.081,0,3.030,0,87,10,0,3,0,89.796,8.163,0,2.041,0,212665344,1261568,30-04 22:16:46
92.079,4.950,0,2.970,0,88,10,0,2,0,91.919,6.061,0,2.020,0,88.119,8.911,0,2.970,0,212469248,12288,30-04 22:16:47
87.255,9.804,0,2.941,0,89.109,6.931,0,3.960,0,88,8,0,4,0,85.149,9.901,0.990,3.960,0,200450560,0,30-04 22:16:48
85.859,9.091,0,5.051,0,83.673,11.224,0,5.102,0,87,7,1,5,0,87,8,0,5,0,203981312,0,30-04 22:16:49
88.542,5.208,0,6.250,0,84.848,9.091,1.010,5.051,0,87.879,7.071,0,5.051,0,89.109,5.941,0,4.950,0,202843648,81920,30-04 22:16:50
86.735,8.163,0,5.102,0,81.553,12.621,0,5.825,0,88,6,0,6,0,86,7,0,7,0,201606144,0,30-04 22:16:51
85.859,9.091,0,5.051,0,86.735,8.163,0,5.102,0,84,10,0,6,0,88.776,7.143,0,4.082,0,194660352,1036288,30-04 22:16:52
89.109,5.941,0.990,3.960,0,90,6,0,4,0,84.848,11.111,0,4.040,0,88.119,6.931,0,4.950,0,200870912,28672,30-04 22:16:53
86.869,8.081,0,5.051,0,85.417,9.375,0,5.208,0,89.691,5.155,0,5.155,0,83,12,0,5,0,200354304,0,30-04 22:16:54
78.788,9.091,0,12.121,0,78,9,0,13,0,77.551,10.204,0,12.245,0,79,8,1,12,0,185664512,61440,30-04 22:16:55
82.828,12.121,0,5.051,0,88.660,8.247,0,3.093,0,88.235,5.882,0.980,4.902,0,87.129,7.921,0,4.950,0,198547968,0,30-04 22:16:56
87,8,0,5,0,87.755,7.143,0,5.102,0,87.879,8.081,0,4.040,0,86.598,8.247,0,5.155,0,197501952,1306624,30-04 22:16:57
84.694,8.163,0,7.143,0,86,5,1,8,0,84.536,7.216,0,8.247,0,86,7,0,7,0,194590720,0,30-04 22:16:58
87.129,7.921,0,4.950,0,86.408,8.738,0,4.854,0,81.818,13.131,0,5.051,0,86,8,0,6,0,207472128,86016,30-04 22:16:59
80.808,10.101,0,9.091,0,84.694,7.143,0,8.163,0,81.633,8.163,0,10.204,0,83.673,7.143,0,9.184,0,181896704,28672,30-04 22:17:00
86.735,9.184,1.020,3.061,0,89,8,0,3,0,86.735,10.204,0,3.061,0,87,9,0,4,0,206866432,0,30-04 22:17:01
83.838,11.111,0,5.051,0,83.838,11.111,0,5.051,0,91,4,0,5,0,86.139,8.911,0.990,3.960,0,201134592,1204224,30-04 22:17:02
85,10,0,5,0,84,11,0,5,0,85.859,8.081,1.010,5.051,0,86.139,8.911,0,4.950,0,200158720,0,30-04 22:17:03
88.542,6.250,0,5.208,0,85.714,9.184,0,5.102,0,88.660,7.216,0,4.124,0,89.216,4.902,0,5.882,0,192098304,77824,30-04 22:17:04
84.314,6.863,0,8.824,0,84,7,0,9,0,85.149,4.950,0,9.901,0,84,7,0,9,0,188330496,0,30-04 22:17:05
86.139,7.921,0,5.941,0,85.149,8.911,0,5.941,0,86.869,7.071,0,6.061,0,88.889,5.051,0,6.061,0,196665344,540672,30-04 22:17:06
88.889,7.071,0,4.040,0,89,5,1,5,0,88.776,6.122,0,5.102,0,86.735,8.163,0,5.102,0,192925184,0,30-04 22:17:07
86.139,8.911,0.990,3.960,0,88,8,0,4,0,87.629,8.247,0,4.124,0,88.660,7.216,0,4.124,0,187156992,1409024,30-04 22:17:08
86.869,8.081,0,5.051,0,86,9,0,5,0,87.129,7.921,0,4.950,0,84,9,1,6,0,194333696,57344,30-04 22:17:09
84.848,11.111,0,4.040,0,87.629,7.216,0,5.155,0,84.158,10.891,0.990,3.960,0,88,8,0,4,0,191987712,0,30-04 22:17:10
84.375,6.250,0,9.375,0,80.808,9.091,1.010,9.091,0,79.798,10.101,0,10.101,0,84.694,6.122,0,9.184,0,180014592,0,30-04 22:17:11
85.859,10.101,0,4.040,0,88.776,8.163,0,3.061,0,86.869,10.101,0,3.030,0,87.755,8.163,0,4.082,0,185190400,12288,30-04 22:17:12
87,10,0,3,0,89.899,7.071,0,3.030,0,87.129,9.901,0,2.970,0,93,5,0,2,0,179106816,205717504,30-04 22:17:13
94.949,4.040,0,1.010,0,91.919,7.071,0,1.010,0,91.089,7.921,0,0.990,0,95,4,0,1,0,221156864,53248,30-04 22:17:14
87.129,9.901,0,2.970,0,91.089,5.941,0,2.970,0,90,7,0,3,0,97.030,1.980,0,0.990,0,213895168,68194304,30-04 22:17:15
98,2,0,0,0,91.667,7.292,0,1.042,0,92.079,6.931,0,0.990,0,92,7,0,1,0,215989248,0,30-04 22:17:16
97,3,0,0,0,90,9,0,1,0,91,9,0,0,0,92,8,0,0,0,218635776,0,30-04 22:17:17
93.939,5.051,0,1.010,0,93,6,0,1,0,91.089,6.931,0,1.980,0,94,4,0,2,0,220703232,69496832,30-04 22:17:18
96,3,0,1,0,92,7,0,1,0,91.919,7.071,0,1.010,0,89.899,9.091,0,1.010,0,218096128,24576,30-04 22:17:19
94.059,4.950,0,0.990,0,91,8,0,1,0,92.929,6.061,0,1.010,0,92.079,6.931,0,0.990,0,212210688,68235264,30-04 22:17:20
89.216,7.843,0,2.941,0,90.909,7.071,0,2.020,0,89.109,7.921,0,2.970,0,95,4,0,1,0,202500096,68259840,30-04 22:17:21
90.909,9.091,0,0,0,92,7,0,1,0,90.909,9.091,0,0,0,97.980,2.020,0,0,0,211132928,0,30-04 22:17:22
89,10,0,1,0,94,5,0,1,0,90.099,7.921,0,1.980,0,95.098,2.941,0,1.961,0,207069184,69488640,30-04 22:17:23
91.089,7.921,0,0.990,0,90.909,9.091,0,0,0,95.960,4.040,0,0,0,94,6,0,0,0,213465088,12288,30-04 22:17:24
89.796,9.184,0,1.020,0,91.089,6.931,0,1.980,0,87.129,10.891,0,1.980,0,93,6,0,1,0,232968704,886272000,30-04 22:17:25
90.909,8.081,0,1.010,0,88.889,10.101,0,1.010,0,91.919,7.071,0,1.010,0,90.909,8.081,0,1.010,0,265000448,68268032,30-04 22:17:26
92,6,0,2,0,90.099,7.921,0,1.980,0,94.059,4.950,0,0.990,0,89.109,8.911,0,1.980,0,279274496,68202496,30-04 22:17:27
89,10,0,1,0,90.909,8.081,0,1.010,0,87.129,10.891,0,1.980,0,91.919,6.061,0,2.020,0,280728064,68202496,30-04 22:17:28
94,4,0,2,0,91,7,0,2,0,88,10,0,2,0,88.889,9.091,0,2.020,0,272666624,69406720,30-04 22:17:29
88.889,7.071,0,4.040,0,87.129,9.901,0,2.970,0,88.776,8.163,1.020,2.041,0,83.838,13.131,0,3.030,0,266767872,512184320,30-04 22:17:30
89.899,9.091,0,1.010,0,92.784,6.186,0,1.031,0,91.089,6.931,0,1.980,0,89.109,9.901,0,0.990,0,271235584,510545920,30-04 22:17:31
92.929,6.061,0,1.010,0,88.119,9.901,0,1.980,0,88.889,9.091,0,2.020,0,90.196,6.863,0.980,1.961,0,269450240,68206592,30-04 22:17:32
90.196,7.843,0,1.961,0,92.929,6.061,0,1.010,0,90,9,0,1,0,91,8,0,1,0,255328768,38797312,30-04 22:17:33
91.919,7.071,0,1.010,0,93,6,0,1,0,89.899,9.091,0,1.010,0,94,5,0,1,0,247500800,30908416,30-04 22:17:34
91.919,7.071,0,1.010,0,89.109,8.911,0,1.980,0,94.059,4.950,0,0.990,0,93,6,0,1,0,257979904,68255744,30-04 22:17:35
89.216,6.863,0.980,2.941,0,89,8,0,3,0,88.119,8.911,0,2.970,0,88.119,8.911,0,2.970,0,244982784,499609600,30-04 22:17:36
89,9,0,2,0,89,9,0,2,0,91.919,6.061,0,2.020,0,88.889,8.081,0,3.030,0,307767296,523460608,30-04 22:17:37
92,5,0,3,0,88,8,0,4,0,88,9,0,3,0,89.691,8.247,0,2.062,0,266940416,68235264,30-04 22:17:38
88.235,9.804,0,1.961,0,89.899,9.091,0,1.010,0,90.909,8.081,0,1.010,0,91.089,6.931,0,1.980,0,274771968,68214784,30-04 22:17:39
90.909,8.081,0,1.010,0,90.099,7.921,0,1.980,0,87,11,0,2,0,90,8,0,2,0,287164416,69808128,30-04 22:17:40
93.069,4.950,0,1.980,0,90.909,7.071,0,2.020,0,90.099,7.921,0,1.980,0,91,7,0,2,0,288953856,68214784,30-04 22:17:41
85.859,12.121,0,2.020,0,89,9,0,2,0,90,8,0,2,0,89.899,8.081,0,2.020,0,243257344,886226944,30-04 22:17:42
84.848,10.101,0,5.051,0,87,8,1,4,0,87.879,8.081,0,4.040,0,89.320,6.796,0,3.883,0,207754752,12288,30-04 22:17:43
93,6,0,1,0,88.889,9.091,0,2.020,0,86.139,11.881,0,1.980,0,89.899,8.081,0,2.020,0,208907776,135168,30-04 22:17:44
91,6,0,3,0,89.796,7.143,0,3.061,0,88,9,0,3,0,90,7,0,3,0,205643264,205873152,30-04 22:17:45
89,9,0,2,0,88,9,0,3,0,88.889,8.081,0,3.030,0,89.899,7.071,0,3.030,0,221400576,0,30-04 22:17:46
89,8,0,3,0,89.796,8.163,0,2.041,0,89,8,1,2,0,90,8,0,2,0,217837056,364544,30-04 22:17:47
88.776,9.184,0,2.041,0,89.899,8.081,0,2.020,0,88.889,9.091,0,2.020,0,90,8,0,2,0,223017984,32768,30-04 22:17:48
90.909,7.071,0,2.020,0,87.879,9.091,0,3.030,0,91.089,5.941,0,2.970,0,88.119,9.901,0,1.980,0,218426368,0,30-04 22:17:49
87,10,0,3,0,89.796,8.163,0,2.041,0,91.919,6.061,0,2.020,0,90.909,6.061,0,3.030,0,216788480,86016,30-04 22:17:50
92,5,0,3,0,87.879,9.091,0,3.030,0,90.816,6.122,0,3.061,0,87,10,0,3,0,208820736,1134592,30-04 22:17:51
87.629,6.186,1.031,5.155,0,88,7,0,5,0,85,10,0,5,0,90.526,4.211,0,5.263,0,200504320,4096,30-04 22:17:52
83.838,11.111,0,5.051,0,83.838,11.111,0,5.051,0,84,11,0,5,0,86.458,8.333,0,5.208,0,204242944,0,30-04 22:17:53
85.859,9.091,0,5.051,0,84,9,1,6,0,87.500,7.292,0,5.208,0,84.466,8.738,0.971,5.825,0,201510400,28672,30-04 22:17:54
83.168,8.911,0,7.921,0,85.294,6.863,0,7.843,0,86.598,5.155,2.062,6.186,0,84.848,9.091,0,6.061,0,193425408,65536,30-04 22:17:55
84,10,0,6,0,87,7,0,6,0,84.694,9.184,0,6.122,0,87.879,6.061,0,6.061,0,198034944,1351680,30-04 22:17:56
87.234,7.447,0,5.319,0,86.735,8.163,0,5.102,0,86.408,7.767,0,5.825,0,86.139,7.921,0,5.941,0,198675456,8192,30-04 22:17:57
87.129,4.950,0.990,6.931,0,87.255,6.863,0,5.882,0,88.542,5.208,0,6.250,0,83.168,11.881,0,4.950,0,191964672,0,30-04 22:17:58
87,8,0,5,0,85.567,7.216,1.031,6.186,0,85.714,9.184,0,5.102,0,82.292,10.417,1.042,6.250,0,194579456,0,30-04 22:17:59
87.255,7.843,0,4.902,0,87,8,0,5,0,87,7,1,5,0,88.119,6.931,0,4.950,0,194298880,94208,30-04 22:18:00
86.869,7.071,0,6.061,0,87.879,6.061,0,6.061,0,82.474,11.340,0,6.186,0,85.294,8.824,0,5.882,0,193960960,1142784,30-04 22:18:01
86.139,7.921,0,5.941,0,86,8,0,6,0,86.275,7.843,0,5.882,0,88.542,5.208,0,6.250,0,187392000,8192,30-04 22:18:02
88.119,5.941,0,5.941,0,89.691,4.124,0,6.186,0,87,7,0,6,0,86.869,6.061,0,7.071,0,194108928,0,30-04 22:18:03
84.158,7.921,0.990,6.931,0,80.808,11.111,1.010,7.071,0,87.500,5.208,0,7.292,0,86.869,6.061,1.010,6.061,0,191296000,0,30-04 22:18:04
89,6,0,5,0,85.417,8.333,0,6.250,0,83,10,1,6,0,86.869,7.071,0,6.061,0,192673280,65536,30-04 22:18:05
85.714,7.143,0,7.143,0,85.417,8.333,0,6.250,0,84.848,10.101,0,5.051,0,85.149,7.921,0,6.931,0,185288704,1232896,30-04 22:18:06
82,12,0,6,0,87,7,0,6,0,87,7,0,6,0,90.909,4.040,0,5.051,0,188687360,12288,30-04 22:18:07
86.869,7.071,0,6.061,0,86.735,7.143,0,6.122,0,85.567,8.247,0,6.186,0,82,12,0,6,0,190504448,0,30-04 22:18:08
81.188,10.891,0.990,6.931,0,82,10,1,7,0,81.633,10.204,1.020,7.143,0,83.838,9.091,1.010,6.061,0,187833344,0,30-04 22:18:09
87.129,6.931,0,5.941,0,86.869,6.061,0,7.071,0,90.099,3.960,0,5.941,0,85.859,7.071,0,7.071,0,187981824,86016,30-04 22:18:10
